repo_name,stars,forks,language,open_issues_count,size,has_wiki,has_pages,has_discussions,archived,repo_age_days,commits
codecrafters-io/build-your-own-x,503135,47697,Markdown,483,1201,False,False,False,False,2935,611
sindresorhus/awesome,468966,35117,,76,1561,False,True,False,False,4333,1201
freeCodeCamp/freeCodeCamp,445274,44669,TypeScript,182,573146,False,False,False,False,4166,41634
public-apis/public-apis,436523,47856,Python,1366,5362,False,False,False,False,3714,4678
EbookFoundation/free-programming-books,388704,66343,Python,82,21282,False,True,False,False,4606,10085
openclaw/openclaw,373882,77687,TypeScript,7420,1354217,False,False,False,False,179,51464
nilbuild/developer-roadmap,355235,44096,TypeScript,22,360857,True,False,False,False,3355,7611
donnemartin/system-design-primer,349787,56347,Python,546,11277,True,False,False,False,3371,343
jwasham/coding-interview-university,347222,82952,,113,22700,False,False,False,False,3637,2511
vinta/awesome-python,298984,27950,Python,17,5604,False,True,False,False,4346,2453
awesome-selfhosted/awesome-selfhosted,294480,13672,,0,16808,False,False,False,False,4008,6991
996icu/996.ICU,276213,20861,,16692,189351,False,False,False,False,2614,3226
practical-tutorials/project-based-learning,266340,34634,,300,438,True,False,True,False,3327,570
facebook/react,245183,51094,JavaScript,1313,978157,False,True,False,False,4745,21482
torvalds/linux,234035,62441,C,3,6299886,False,False,False,False,5373,1445862
trimstray/the-book-of-secret-knowledge,222900,13363,,145,1748,False,False,False,False,2890,1069
TheAlgorithms/Python,221305,50667,Python,919,16607,True,True,True,False,3597,3662
vuejs/vue,209783,33865,TypeScript,624,32152,True,False,True,False,4680,3593
ossu/computer-science,204060,25396,HTML,22,1784,True,True,False,False,4401,1105
obra/superpowers,202409,18030,Shell,304,2970,True,False,False,False,224,440
trekhleb/javascript-algorithms,195985,31067,JavaScript,402,14908,False,False,False,False,2981,1136
tensorflow/tensorflow,195230,75322,C++,5548,1330076,False,False,False,False,3849,194234
ultraworkers/claw-code,192224,109963,Rust,1412,15950,False,False,False,False,52,1253
n8n-io/n8n,189219,57905,TypeScript,1463,572400,False,True,False,False,2526,20004
affaan-m/ECC,188396,29159,JavaScript,13,35693,True,False,True,False,124,1976
ohmyzsh/ohmyzsh,187178,26373,Shell,555,13558,True,False,True,False,6110,7780
microsoft/vscode,185216,40058,TypeScript,17913,1263992,True,False,False,False,3913,157898
getify/You-Dont-Know-JS,184466,33561,,2,15241,False,False,False,False,4570,1908
