repo_name,stars,forks,watchers,language,url
codecrafters-io/build-your-own-x,503116,47696,503116,Markdown,https://api.github.com/repos/codecrafters-io/build-your-own-x
sindresorhus/awesome,468931,35114,468931,,https://api.github.com/repos/sindresorhus/awesome
freeCodeCamp/freeCodeCamp,445275,44669,445275,TypeScript,https://api.github.com/repos/freeCodeCamp/freeCodeCamp
public-apis/public-apis,436500,47855,436500,Python,https://api.github.com/repos/public-apis/public-apis
EbookFoundation/free-programming-books,388707,66339,388707,Python,https://api.github.com/repos/EbookFoundation/free-programming-books
openclaw/openclaw,373861,77682,373861,TypeScript,https://api.github.com/repos/openclaw/openclaw
nilbuild/developer-roadmap,355236,44096,355236,TypeScript,https://api.github.com/repos/nilbuild/developer-roadmap
donnemartin/system-design-primer,349779,56348,349779,Python,https://api.github.com/repos/donnemartin/system-design-primer
jwasham/coding-interview-university,347222,82953,347222,,https://api.github.com/repos/jwasham/coding-interview-university
vinta/awesome-python,298969,27948,298969,Python,https://api.github.com/repos/vinta/awesome-python
awesome-selfhosted/awesome-selfhosted,294467,13671,294467,,https://api.github.com/repos/awesome-selfhosted/awesome-selfhosted
996icu/996.ICU,276218,20861,276218,,https://api.github.com/repos/996icu/996.ICU
practical-tutorials/project-based-learning,266333,34632,266333,,https://api.github.com/repos/practical-tutorials/project-based-learning
facebook/react,245180,51093,245180,JavaScript,https://api.github.com/repos/facebook/react
torvalds/linux,234025,62435,234025,C,https://api.github.com/repos/torvalds/linux
trimstray/the-book-of-secret-knowledge,222829,13357,222829,,https://api.github.com/repos/trimstray/the-book-of-secret-knowledge
TheAlgorithms/Python,221306,50667,221306,Python,https://api.github.com/repos/TheAlgorithms/Python
vuejs/vue,209784,33865,209784,TypeScript,https://api.github.com/repos/vuejs/vue
ossu/computer-science,204057,25396,204057,HTML,https://api.github.com/repos/ossu/computer-science
obra/superpowers,202282,18017,202282,Shell,https://api.github.com/repos/obra/superpowers
trekhleb/javascript-algorithms,195986,31066,195986,JavaScript,https://api.github.com/repos/trekhleb/javascript-algorithms
