repo_name,stars,forks,watchers,language,url,commits
codecrafters-io/build-your-own-x,503116,47696,503116,Markdown,https://api.github.com/repos/codecrafters-io/build-your-own-x,611
sindresorhus/awesome,468931,35114,468931,,https://api.github.com/repos/sindresorhus/awesome,1201
freeCodeCamp/freeCodeCamp,445275,44669,445275,TypeScript,https://api.github.com/repos/freeCodeCamp/freeCodeCamp,41633
public-apis/public-apis,436500,47855,436500,Python,https://api.github.com/repos/public-apis/public-apis,4678
EbookFoundation/free-programming-books,388707,66339,388707,Python,https://api.github.com/repos/EbookFoundation/free-programming-books,10085
openclaw/openclaw,373861,77682,373861,TypeScript,https://api.github.com/repos/openclaw/openclaw,51426
nilbuild/developer-roadmap,355236,44096,355236,TypeScript,https://api.github.com/repos/nilbuild/developer-roadmap,7611
donnemartin/system-design-primer,349779,56348,349779,Python,https://api.github.com/repos/donnemartin/system-design-primer,343
jwasham/coding-interview-university,347222,82953,347222,,https://api.github.com/repos/jwasham/coding-interview-university,2511
vinta/awesome-python,298969,27948,298969,Python,https://api.github.com/repos/vinta/awesome-python,2453
awesome-selfhosted/awesome-selfhosted,294467,13671,294467,,https://api.github.com/repos/awesome-selfhosted/awesome-selfhosted,6991
996icu/996.ICU,276218,20861,276218,,https://api.github.com/repos/996icu/996.ICU,3226
practical-tutorials/project-based-learning,266333,34632,266333,,https://api.github.com/repos/practical-tutorials/project-based-learning,570
facebook/react,245180,51093,245180,JavaScript,https://api.github.com/repos/facebook/react,21482
torvalds/linux,234025,62435,234025,C,https://api.github.com/repos/torvalds/linux,1445862
trimstray/the-book-of-secret-knowledge,222829,13357,222829,,https://api.github.com/repos/trimstray/the-book-of-secret-knowledge,1069
TheAlgorithms/Python,221306,50667,221306,Python,https://api.github.com/repos/TheAlgorithms/Python,3661
vuejs/vue,209784,33865,209784,TypeScript,https://api.github.com/repos/vuejs/vue,3593
ossu/computer-science,204057,25396,204057,HTML,https://api.github.com/repos/ossu/computer-science,1105
obra/superpowers,202282,18017,202282,Shell,https://api.github.com/repos/obra/superpowers,440
trekhleb/javascript-algorithms,195986,31066,195986,JavaScript,https://api.github.com/repos/trekhleb/javascript-algorithms,1136
tensorflow/tensorflow,195227,75319,195227,C++,https://api.github.com/repos/tensorflow/tensorflow,194220
ultraworkers/claw-code,192221,109964,192221,Rust,https://api.github.com/repos/ultraworkers/claw-code,1253
n8n-io/n8n,189203,57904,189203,TypeScript,https://api.github.com/repos/n8n-io/n8n,19995
affaan-m/ECC,188351,29152,188351,JavaScript,https://api.github.com/repos/affaan-m/ECC,1976
ohmyzsh/ohmyzsh,187177,26374,187177,Shell,https://api.github.com/repos/ohmyzsh/ohmyzsh,7780
microsoft/vscode,185217,40055,185217,TypeScript,https://api.github.com/repos/microsoft/vscode,157895
getify/You-Dont-Know-JS,184471,33561,184471,,https://api.github.com/repos/getify/You-Dont-Know-JS,1908
Significant-Gravitas/AutoGPT,184450,46229,184450,Python,https://api.github.com/repos/Significant-Gravitas/AutoGPT,8606
CyC2018/CS-Notes,184407,50984,184407,,https://api.github.com/repos/CyC2018/CS-Notes,3781
jackfrued/Python-100-Days,182703,55693,182703,Jupyter Notebook,https://api.github.com/repos/jackfrued/Python-100-Days,472
flutter/flutter,176413,30393,176413,Dart,https://api.github.com/repos/flutter/flutter,89682
massgravel/Microsoft-Activation-Scripts,176027,16911,176027,Batchfile,https://api.github.com/repos/massgravel/Microsoft-Activation-Scripts,520
twbs/bootstrap,174262,78875,174262,MDX,https://api.github.com/repos/twbs/bootstrap,23229
github/gitignore,174038,82499,174038,,https://api.github.com/repos/github/gitignore,4215
avelino/awesome-go,173337,13243,173337,Go,https://api.github.com/repos/avelino/awesome-go,5386
ollama/ollama,171998,16235,171998,Go,https://api.github.com/repos/ollama/ollama,5393
DigitalPlatDev/FreeDomain,164198,2873,164198,HTML,https://api.github.com/repos/DigitalPlatDev/FreeDomain,73
yt-dlp/yt-dlp,163888,13793,163888,Python,https://api.github.com/repos/yt-dlp/yt-dlp,23824
anomalyco/opencode,163829,19356,163829,TypeScript,https://api.github.com/repos/anomalyco/opencode,13287
AUTOMATIC1111/stable-diffusion-webui,163211,30355,163211,Python,https://api.github.com/repos/AUTOMATIC1111/stable-diffusion-webui,7689
f/prompts.chat,162658,21166,162658,HTML,https://api.github.com/repos/f/prompts.chat,6764
NousResearch/hermes-agent,162314,26458,162314,Python,https://api.github.com/repos/NousResearch/hermes-agent,9186
jlevy/the-art-of-command-line,161030,14811,161030,,https://api.github.com/repos/jlevy/the-art-of-command-line,1218
huggingface/transformers,160865,33297,160865,Python,https://api.github.com/repos/huggingface/transformers,22910
521xueweihan/HelloGitHub,158078,12036,158078,Python,https://api.github.com/repos/521xueweihan/HelloGitHub,225
Snailclimb/JavaGuide,155823,46139,155823,JavaScript,https://api.github.com/repos/Snailclimb/JavaGuide,6195
langflow-ai/langflow,148650,9087,148650,Python,https://api.github.com/repos/langflow-ai/langflow,17701
airbnb/javascript,148127,26674,148127,JavaScript,https://api.github.com/repos/airbnb/javascript,1996
multica-ai/andrej-karpathy-skills,144684,14815,144684,,https://api.github.com/repos/multica-ai/andrej-karpathy-skills,28
langgenius/dify,142248,22370,142248,TypeScript,https://api.github.com/repos/langgenius/dify,10737
Genymobile/scrcpy,142165,13119,142165,C,https://api.github.com/repos/Genymobile/scrcpy,3097
ytdl-org/youtube-dl,140346,10674,140346,Python,https://api.github.com/repos/ytdl-org/youtube-dl,18977
yangshun/tech-interview-handbook,139661,16585,139661,TypeScript,https://api.github.com/repos/yangshun/tech-interview-handbook,1335
vercel/next.js,139558,31112,139558,JavaScript,https://api.github.com/repos/vercel/next.js,34064
anthropics/skills,139123,16409,139123,Python,https://api.github.com/repos/anthropics/skills,36
open-webui/open-webui,138189,19765,138189,Python,https://api.github.com/repos/open-webui/open-webui,16562
x1xhlol/system-prompts-and-models-of-ai-tools,138053,34409,138053,,https://api.github.com/repos/x1xhlol/system-prompts-and-models-of-ai-tools,497
langchain-ai/langchain,137372,22726,137372,Python,https://api.github.com/repos/langchain-ai/langchain,16039
golang/go,134016,19037,134016,Go,https://api.github.com/repos/golang/go,66437
labuladong/fucking-algorithm,133495,23612,133495,Markdown,https://api.github.com/repos/labuladong/fucking-algorithm,518
microsoft/PowerToys,133370,7999,133370,C#,https://api.github.com/repos/microsoft/PowerToys,9198
Chalarangelo/30-seconds-of-code,127891,12485,127891,JavaScript,https://api.github.com/repos/Chalarangelo/30-seconds-of-code,10199
krahets/hello-algo,126308,15127,126308,Java,https://api.github.com/repos/krahets/hello-algo,2161
facebook/react-native,125868,25150,125868,C++,https://api.github.com/repos/facebook/react-native,40701
anthropics/claude-code,125662,20637,125662,Shell,https://api.github.com/repos/anthropics/claude-code,635
microsoft/markitdown,124528,8464,124528,Python,https://api.github.com/repos/microsoft/markitdown,308
excalidraw/excalidraw,123814,13739,123814,TypeScript,https://api.github.com/repos/excalidraw/excalidraw,3995
firecrawl/firecrawl,122870,7454,122870,TypeScript,https://api.github.com/repos/firecrawl/firecrawl,5475
ripienaar/free-for-dev,122543,12861,122543,HTML,https://api.github.com/repos/ripienaar/free-for-dev,6983
kubernetes/kubernetes,122402,43132,122402,Go,https://api.github.com/repos/kubernetes/kubernetes,138050
electron/electron,121378,17200,121378,C++,https://api.github.com/repos/electron/electron,30529
clash-verge-rev/clash-verge-rev,120085,8746,120085,TypeScript,https://api.github.com/repos/clash-verge-rev/clash-verge-rev,4337
nodejs/node,117331,35598,117331,JavaScript,https://api.github.com/repos/nodejs/node,46890
justjavac/free-programming-books-zh_CN,116980,28303,116980,,https://api.github.com/repos/justjavac/free-programming-books-zh_CN,924
iptv-org/iptv,116412,6158,116412,TypeScript,https://api.github.com/repos/iptv-org/iptv,33923
shadcn-ui/ui,114857,8873,114857,TypeScript,https://api.github.com/repos/shadcn-ui/ui,2146
rustdesk/rustdesk,114752,17295,114752,Rust,https://api.github.com/repos/rustdesk/rustdesk,11125
Comfy-Org/ComfyUI,113977,13347,113977,Python,https://api.github.com/repos/Comfy-Org/ComfyUI,5285
rust-lang/rust,112982,14953,112982,Rust,https://api.github.com/repos/rust-lang/rust,327360
d3/d3,112933,22729,112933,Shell,https://api.github.com/repos/d3/d3,4510
Hack-with-Github/Awesome-Hacking,112804,10331,112804,,https://api.github.com/repos/Hack-with-Github/Awesome-Hacking,139
mrdoob/three.js,112612,36376,112612,JavaScript,https://api.github.com/repos/mrdoob/three.js,47244
ggml-org/llama.cpp,112222,18580,112222,C++,https://api.github.com/repos/ggml-org/llama.cpp,9285
Shubhamsaboo/awesome-llm-apps,111392,16537,111392,Python,https://api.github.com/repos/Shubhamsaboo/awesome-llm-apps,1004
microsoft/generative-ai-for-beginners,111251,59662,111251,Jupyter Notebook,https://api.github.com/repos/microsoft/generative-ai-for-beginners,2232
godotengine/godot,111018,25404,111018,C++,https://api.github.com/repos/godotengine/godot,83794
axios/axios,109069,11713,109069,JavaScript,https://api.github.com/repos/axios/axios,2047
microsoft/TypeScript,108929,13408,108929,TypeScript,https://api.github.com/repos/microsoft/TypeScript,36757
GrowingGit/GitHub-Chinese-Top-Charts,108045,13536,108045,Java,https://api.github.com/repos/GrowingGit/GitHub-Chinese-Top-Charts,1018
tauri-apps/tauri,106957,3624,106957,Rust,https://api.github.com/repos/tauri-apps/tauri,5994
denoland/deno,106806,6066,106806,Rust,https://api.github.com/repos/denoland/deno,16127
fatedier/frp,106745,15051,106745,Go,https://api.github.com/repos/fatedier/frp,1451
2dust/v2rayN,106430,15093,106430,C#,https://api.github.com/repos/2dust/v2rayN,2732
papers-we-love/papers-we-love,106392,6355,106392,Shell,https://api.github.com/repos/papers-we-love/papers-we-love,886
goldbergyoni/nodebestpractices,105274,10734,105274,Dockerfile,https://api.github.com/repos/goldbergyoni/nodebestpractices,3916
github/spec-kit,104696,9231,104696,Python,https://api.github.com/repos/github/spec-kit,991
jaywcjlove/awesome-mac,104520,7790,104520,Swift,https://api.github.com/repos/jaywcjlove/awesome-mac,2694
google-gemini/gemini-cli,104482,13791,104482,TypeScript,https://api.github.com/repos/google-gemini/gemini-cli,6217
msitarzewski/agency-agents,104007,17099,104007,Shell,https://api.github.com/repos/msitarzewski/agency-agents,291
deepseek-ai/DeepSeek-V3,103578,16741,103578,Python,https://api.github.com/repos/deepseek-ai/DeepSeek-V3,73
react/create-react-app,103378,27041,103378,JavaScript,https://api.github.com/repos/react/create-react-app,2819
microsoft/terminal,103277,9294,103277,C++,https://api.github.com/repos/microsoft/terminal,4936
supabase/supabase,102839,12509,102839,TypeScript,https://api.github.com/repos/supabase/supabase,36441
immich-app/immich,101276,5657,101276,TypeScript,https://api.github.com/repos/immich-app/immich,10084
garrytan/gstack,100678,14993,100678,TypeScript,https://api.github.com/repos/garrytan/gstack,292
Anduin2017/HowToCook,100237,10963,100237,,https://api.github.com/repos/Anduin2017/HowToCook,2599
angular/angular,100133,27240,100133,TypeScript,https://api.github.com/repos/angular/angular,37430
openai/whisper,100131,12262,100131,Python,https://api.github.com/repos/openai/whisper,168
pytorch/pytorch,100083,27852,100083,Python,https://api.github.com/repos/pytorch/pytorch,104880
mattpocock/skills,100023,8854,100023,Shell,https://api.github.com/repos/mattpocock/skills,85
neovim/neovim,99795,6904,99795,Vim Script,https://api.github.com/repos/neovim/neovim,36655
mtdvio/every-programmer-should-know,99186,8727,99186,,https://api.github.com/repos/mtdvio/every-programmer-should-know,326
fastapi/fastapi,98430,9324,98430,Python,https://api.github.com/repos/fastapi/fastapi,7174
mui/material-ui,98364,32629,98364,JavaScript,https://api.github.com/repos/mui/material-ui,28264
ant-design/ant-design,98112,54608,98112,TypeScript,https://api.github.com/repos/ant-design/ant-design,32172
nvbn/thefuck,97032,3957,97032,Python,https://api.github.com/repos/nvbn/thefuck,1651
microsoft/Web-Dev-For-Beginners,95784,15500,95784,JavaScript,https://api.github.com/repos/microsoft/Web-Dev-For-Beginners,2603
rasbt/LLMs-from-scratch,95377,14606,95377,Jupyter Notebook,https://api.github.com/repos/rasbt/LLMs-from-scratch,1053
tailwindlabs/tailwindcss,95085,5258,95085,TypeScript,https://api.github.com/repos/tailwindlabs/tailwindcss,6742
browser-use/browser-use,95076,10714,95076,Python,https://api.github.com/repos/browser-use/browser-use,9250
ryanmcdermott/clean-code-javascript,94364,12466,94364,JavaScript,https://api.github.com/repos/ryanmcdermott/clean-code-javascript,546
puppeteer/puppeteer,94354,9424,94354,TypeScript,https://api.github.com/repos/puppeteer/puppeteer,6300
florinpop17/app-ideas,94099,10440,94099,,https://api.github.com/repos/florinpop17/app-ideas,543
iluwatar/java-design-patterns,94029,27370,94029,Java,https://api.github.com/repos/iluwatar/java-design-patterns,4352
nvm-sh/nvm,93490,10188,93490,Shell,https://api.github.com/repos/nvm-sh/nvm,2331
hacksider/Deep-Live-Cam,93277,13578,93277,Python,https://api.github.com/repos/hacksider/Deep-Live-Cam,609
